Date,Adj Close,Volume,Sentiments
21/1/19,289.774658,10188647,-1
22/1/19,287.594788,11297989,-1
23/1/19,284.02771,10304608,1
24/1/19,285.414886,11532528,-1
25/1/19,282.789124,11121223,-1
28/1/19,279.023926,18905470,-1
29/1/19,278.033051,17435611,1
30/1/19,284.820404,18908654,1
31/1/19,290.963654,25546487,-1
1/2/19,281.798279,60015958,-1
4/2/19,281.352417,20642919,1
5/2/19,282.04599,13291133,1
6/2/19,286.405731,12149759,-1
7/2/19,284.770844,19733315,-1
8/2/19,283.383667,19781908,-1
11/2/19,277.93396,15420017,-1
12/2/19,272.880615,15326106,-1
14/2/19,264.656555,26372671,-1
15/2/19,260.544525,23366091,-1
18/2/19,257.57196,14781744,1
19/2/19,260.494965,19064306,1
20/2/19,265.251068,15514595,1
21/2/19,265.548309,13760702,1
22/2/19,268.471344,12536918,-1
25/2/19,267.67865,20793897,-1
26/2/19,263.913422,15274303,1
27/2/19,265.201508,20571652,1
28/2/19,266.588715,31636468,1
1/3/19,270.453064,20024726,1
5/3/19,273.921021,21533972,1
6/3/19,275.555939,22161376,1
7/3/19,279.172546,14899105,-1
8/3/19,278.627563,19943319,1
11/3/19,284.721313,22931245,-1
12/3/19,284.275421,20828136,1
13/3/19,290.468231,23725641,-1
14/3/19,289.229675,16164017,1
15/3/19,295.670227,37928480,1
18/3/19,296.21521,23782967,1
19/3/19,300.277679,27218691,1
20/3/19,301.020813,18820555,-1
22/3/19,295.323395,17865957,-1
25/3/19,291.310455,16895511,1
26/3/19,300.723572,18303791,1
27/3/19,305.975067,35956450,1
28/3/19,316.081757,63244736,1
1/4/19,319.797455,22372357,1
2/4/19,325.990295,27897583,-1
3/4/19,317.568054,30552104,1
4/4/19,318.85614,27832294,-1
5/4/19,314.149597,23117232,-1
8/4/19,309.938477,17394139,1
9/4/19,311.870636,25556039,-1
10/4/19,308.055847,19237974,1
11/4/19,312.019257,14897935,1
12/4/19,312.366089,14751964,1
15/4/19,312.712891,13864791,1
16/4/19,312.861511,14940726,-1
18/4/19,307.956757,15691168,-1
22/4/19,307.213623,15665440,-1
23/4/19,302.45755,17324274,1
24/4/19,307.907227,15228591,-1
25/4/19,303.398865,30842477,1
26/4/19,309.641235,14987906,-1
30/4/19,307.114563,18178758,-1
2/5/19,305.331024,16640100,1
3/5/19,307.164093,12452689,-1
6/5/19,305.925537,10639216,-1
7/5/19,302.655731,15219845,-1
8/5/19,295.521576,22103678,1
9/5/19,296.561981,12654440,1
10/5/19,305.231934,60739833,-1
13/5/19,304.092468,40101505,1
14/5/19,311.771545,30521436,-1
15/5/19,309.244904,27932459,1
16/5/19,312.861511,18147559,1
17/5/19,316.329468,25838962,1
20/5/19,341.546661,53207071,-1
21/5/19,334.462067,33457162,1
22/5/19,337.979614,32002499,1
23/5/19,339.06955,74413322,1
24/5/19,352.099243,35703403,1
27/5/19,358.391144,31374994,-1
28/5/19,356.756226,23501608,-1
29/5/19,345.46051,28370210,1
30/5/19,350.315704,25712604,-1
31/5/19,349.275299,32588069,1
3/6/19,352.198334,18380919,-1
4/6/19,349.176208,18130636,-1
6/6/19,333.818024,41941144,1
7/6/19,338.920898,29739710,1
10/6/19,341.150299,20500542,1
11/6/19,343.924713,16281297,-1
12/6/19,340.853058,11564970,1
13/6/19,343.3302,15509948,-1
14/6/19,340.654877,10347594,-1
17/6/19,334.759338,13779496,1
18/6/19,336.939178,21957480,-1
19/6/19,335.750183,16416903,1
20/6/19,341.992554,20626861,1
21/6/19,346.203674,24749090,1
24/6/19,349.968903,17919504,1
25/6/19,353.288239,15922634,1
26/6/19,354.873627,15835579,1
27/6/19,358.837036,29658120,-1
28/6/19,357.945251,22708464,1
1/7/19,358.242493,12348793,1
2/7/19,361.165527,14482172,1
3/7/19,362.800446,12626285,1
4/7/19,364.039001,19252646,1
5/7/19,367.259277,30019347,-1
8/7/19,352.049683,27247892,1
9/7/19,356.211273,16579914,-1
10/7/19,350.959778,18681819,1
11/7/19,359.877441,20048321,1
12/7/19,360.273773,14661748,-1
15/7/19,356.756226,15665939,1
16/7/19,361.016907,16251836,1
17/7/19,368.993256,17545177,-1
18/7/19,360.323303,21691056,-1
19/7/19,352.743286,22213173,-1
22/7/19,347.640411,19682038,-1
23/7/19,339.06955,27956145,-1
24/7/19,336.493317,20823143,1
25/7/19,338.177765,19857643,1
26/7/19,339.465881,16139052,1
29/7/19,340.654877,17060483,-1
30/7/19,324.553528,24437235,1
31/7/19,329.161041,22741445,-1
1/8/19,314.248688,40853304,-1
2/8/19,305.628296,64472348,-1
5/8/19,297.503296,48815899,1
6/8/19,298.642761,30442970,-1
7/8/19,287.247986,30820114,1
8/8/19,291.657288,32929233,-1
9/8/19,288.684723,23377581,-1
13/8/19,280.757904,24231272,1
14/8/19,287.099335,18523649,1
16/8/19,288.238831,20047399,-1
19/8/19,284.225891,19831459,-1
20/8/19,281.104706,23204417,-1
21/8/19,274.862335,28226325,-1
22/8/19,266.093262,27728925,1
23/8/19,268.619965,35212444,1
26/8/19,277.636719,64066440,1
27/8/19,283.086426,45164811,-1
28/8/19,282.293701,18979998,-1
29/8/19,271.988861,27083514,-1
30/8/19,271.344818,45702652,-1
3/9/19,265.944641,21241863,1
4/9/19,272.583374,27309675,-1
5/9/19,270.799835,25085139,1
6/9/19,271.443909,16675146,1
9/9/19,275.456848,18616889,1
11/9/19,282.640503,20999669,1
12/9/19,284.424042,21964832,1
13/9/19,289.031525,27303181,-1
16/9/19,282.095551,18267680,-1
17/9/19,271.443909,21533362,1
18/9/19,277.834869,25478758,-1
19/9/19,271.542969,23387797,1
20/9/19,298.940033,84481749,1
23/9/19,310.879791,54178171,-1
24/9/19,299.831818,40096711,-1
25/9/19,277.686249,73063465,1
26/9/19,279.271637,79005946,-1
27/9/19,278.627563,37851718,-1
30/9/19,268.322693,41094131,-1
1/10/19,253.608551,79350077,-1
3/10/19,251.825012,56207921,-1
4/10/19,247.663437,60029186,-1
7/10/19,246.821228,39160623,1
9/10/19,258.562836,60328507,-1
10/10/19,251.825012,37577511,1
11/10/19,252.221359,43272106,1
14/10/19,253.113129,28265136,1
15/10/19,256.085693,23444973,-1
16/10/19,253.707626,30892295,1
17/10/19,263.021667,37061013,1
18/10/19,267.183228,33203721,1
22/10/19,268.025452,27574295,1
23/10/19,272.930176,31789622,-1
24/10/19,260.098633,63943183,1
25/10/19,278.974365,105518180,1
27/10/19,279.222076,12183625,-1
29/10/19,278.082581,51033578,1
30/10/19,287.247986,51469048,1
31/10/19,309.542145,128449327,1
1/11/19,310.68161,44894016,1
4/11/19,311.424744,31535656,1
5/11/19,316.279938,50080853,-1
6/11/19,314.64502,32157080,1
7/11/19,315.239532,33926772,-1
8/11/19,313.109222,25423362,1
11/11/19,315.338623,20491942,-1
13/11/19,303.993378,32675829,-1
14/11/19,303.200684,43617772,1
15/11/19,318.955231,95199897,1
18/11/19,322.125977,39009263,1
19/11/19,327.377472,41372145,-1
20/11/19,325.792114,29972583,1
21/11/19,328.318787,34116162,-1
22/11/19,326.287537,28974967,1
25/11/19,333.02533,27561300,-1
26/11/19,332.430817,36464072,1
27/11/19,340.407166,33971305,1
28/11/19,346.104584,42538227,-1
29/11/19,338.722748,23081823,-1
2/12/19,335.403381,20648850,-1
3/12/19,333.17395,26482178,1
4/12/19,338.722748,26789483,-1
5/12/19,333.12442,30429507,-1
6/12/19,317.072632,47027528,-1
9/12/19,313.802826,52435239,-1
10/12/19,310.53299,52155809,-1
11/12/19,309.938477,52557951,1
12/12/19,318.905701,37804216,1
13/12/19,329.507813,40955226,-1
16/12/19,328.814209,35027613,1
17/12/19,329.854614,26734601,-1
18/12/19,323.959045,26449075,1
19/12/19,325.148071,27516289,1
20/12/19,334.759338,51839714,-1
23/12/19,329.359192,30150335,-1
24/12/19,328.417877,21747782,-1
26/12/19,326.83252,24616942,1
27/12/19,334.164825,33477173,-1
30/12/19,331.340881,22775554,-1
31/12/19,330.696838,23801635,1
1/1/20,331.390442,17379320,1
2/1/20,336.196045,20324236,-1
3/1/20,330.647308,21853208,-1
6/1/20,316.081757,35645325,-1
7/1/20,315.487244,50966826,1
8/1/20,316.874451,44527485,1
9/1/20,327.179321,40348407,1
10/1/20,329.210571,42377838,-1
13/1/20,327.724274,23615129,-1
14/1/20,324.999451,26296117,-1
15/1/20,321.283752,32625740,-1
16/1/20,320.342407,26653623,-1
17/1/20,315.090912,58396326,-1
20/1/20,311.127502,30682902,-1
21/1/20,310.830261,30591772,1
22/1/20,313.257843,24994911,1
23/1/20,320.243347,33293610,1
24/1/20,321.085571,22706879,-1
27/1/20,313.307404,23309355,-1
28/1/20,312.217438,26488426,1
